//Taille
2
//parametre de taille
0 1
1 1
//l'intervalle de la temperature pour cémentite
298.15 1768.00 1811.00 2180.00 2896. 5000. 6000.00
//l'ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//t i j l valeur
5 2 1 6 284.189746
5 2 1 7 0
5 2 1 8 0
5 2 1 9 0
6 2 1 0 0
6 2 1 1 0
6 2 1 2 0
6 2 1 3 0
6 2 1 4 0
6 2 1 5 0
6 2 1 6 0
6 2 1 7 0
6 2 1 8 0
6 2 1 9 0
//l'ordre pour L1power
0 1
//Taille pour L1
7 4 3 2 3 3
//matrice L1 pour ferrite (Fe-Cr-Mo-Co-C/Va)
//t i j k l m valeur
0 3 1 1 0 1 2085
0 3 1 1 0 2 -11.876
1 3 1 1 0 1 2085
1 3 1 1 0 2 -11.876
2 3 1 1 0 1 2085
2 3 1 1 0 2 -11.876
3 3 1 1 0 1 2085
3 3 1 1 0 2 -11.876
4 3 1 1 0 1 2085
4 3 1 1 0 2 -11.876
5 3 1 1 0 1 2085
5 3 1 1 0 2 -11.876
6 3 1 1 0 1 2085
6 3 1 1 0 2 -11.876
0 3 0 1 0 1 -8471
0 3 0 1 1 1 1181
0 3 0 1 1 2 -1.6544
1 3 0 1 0 1 -8471
1 3 0 1 1 1 1181
1 3 0 1 1 2 -1.6544
2 3 0 1 0 1 -8471
2 3 0 1 1 1 1181
2 3 0 1 1 2 -1.6544
3 3 0 1 0 1 -8471
3 3 0 1 1 1 1181
3 3 0 1 1 2 -1.6544
4 3 0 1 0 1 -8471
4 3 0 1 1 1 1181
4 3 0 1 1 2 -1.6544
5 3 0 1 0 1 -8471
5 3 0 1 1 1 1181
5 3 0 1 1 2 -1.6544
6 3 0 1 0 1 -8471
6 3 0 1 1 1 1181
6 3 0 1 1 2 -1.6544
0 3 2 1 0 1 -6900
1 3 2 1 0 1 -6900
2 3 2 1 0 1 -6900
3 3 2 1 0 1 -6900
4 3 2 1 0 1 -6900
5 3 2 1 0 1 -6900
6 3 2 1 0 1 -6900
0 3 2 1 2 1 2500
1 3 2 1 2 1 2500
2 3 2 1 2 1 2500
3 3 2 1 2 1 2500
4 3 2 1 2 1 2500
5 3 2 1 2 1 2500
6 3 2 1 2 1 2500
0 3 1 0 0 1 2085
0 3 1 0 0 2 -11.876
1 3 1 0 0 1 2085
1 3 1 0 0 2 -11.876
2 3 1 0 0 1 2085
2 3 1 0 0 2 -11.876
3 3 1 0 0 1 2085
3 3 1 0 0 2 -11.876
4 3 1 0 0 1 2085
